Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,19981123,73.91,73.91,73.91,73.91,0,0
2644.N,D,19981124,71.84,71.84,71.84,71.84,0,0
2644.N,D,19981125,71.65,71.65,71.65,71.65,0,0
2644.N,D,19981126,69.82,69.82,69.82,69.82,0,0
2644.N,D,19981127,68.7,68.7,68.7,68.7,0,0
2644.N,D,19981130,67.13,67.13,67.13,67.13,0,0
2644.N,D,19981201,67.16,67.16,67.16,67.16,0,0
2644.N,D,19981202,67.59,67.59,67.59,67.59,0,0
2644.N,D,19981203,68.7,68.7,68.7,68.7,0,0
2644.N,D,19981204,71.22,71.22,71.22,71.22,0,0
2644.N,D,19981207,70.96,70.96,70.96,70.96,0,0
2644.N,D,19981208,70.82,70.82,70.82,70.82,0,0
2644.N,D,19981209,71.14,71.14,71.14,71.14,0,0
2644.N,D,19981210,69.64,69.64,69.64,69.64,0,0
2644.N,D,19981211,68.8,68.8,68.8,68.8,0,0
2644.N,D,19981214,69.36,69.36,69.36,69.36,0,0
2644.N,D,19981215,69.55,69.55,69.55,69.55,0,0
2644.N,D,19981216,69.8,69.8,69.8,69.8,0,0
2644.N,D,19981217,69.86,69.86,69.86,69.86,0,0
2644.N,D,19981218,70.08,70.08,70.08,70.08,0,0
2644.N,D,19981221,71.12,71.12,71.12,71.12,0,0
2644.N,D,19981222,73.16,73.16,73.16,73.16,0,0
2644.N,D,19981223,75.22,75.22,75.22,75.22,0,0
2644.N,D,19981224,75.22,75.22,75.22,75.22,0,0
2644.N,D,19981228,75.22,75.22,75.22,75.22,0,0
2644.N,D,19981229,73.71,73.71,73.71,73.71,0,0
2644.N,D,19981230,73.99,73.99,73.99,73.99,0,0
2644.N,D,19981231,76.56,76.56,76.56,76.56,0,0
2644.N,D,19990104,77.24,77.24,77.24,77.24,0,0
2644.N,D,19990105,79.26,79.26,79.26,79.26,0,0
2644.N,D,19990106,82.16,82.16,82.16,82.16,0,0
2644.N,D,19990107,82.83,82.83,82.83,82.83,0,0
2644.N,D,19990108,84.04,84.04,84.04,84.04,0,0
2644.N,D,19990111,81.08,81.08,81.08,81.08,0,0
2644.N,D,19990112,75.43,75.43,75.43,75.43,0,0
2644.N,D,19990113,74.23,74.23,74.23,74.23,0,0
2644.N,D,19990114,72.96,72.96,72.96,72.96,0,0
2644.N,D,19990115,78.06,78.06,78.06,78.06,0,0
2644.N,D,19990118,78.12,78.12,78.12,78.12,0,0
2644.N,D,19990119,79.34,79.34,79.34,79.34,0,0
2644.N,D,19990120,81.99,81.99,81.99,81.99,0,0
2644.N,D,19990121,78.24,78.24,78.24,78.24,0,0
2644.N,D,19990122,76.38,76.38,76.38,76.38,0,0
2644.N,D,19990125,80.23,80.23,80.23,80.23,0,0
2644.N,D,19990126,80.58,80.58,80.58,80.58,0,0
2644.N,D,19990127,79.85,79.85,79.85,79.85,0,0
2644.N,D,19990128,82.34,82.34,82.34,82.34,0,0
2644.N,D,19990129,82.78,82.78,82.78,82.78,0,0
2644.N,D,19990201,81.54,81.54,81.54,81.54,0,0
2644.N,D,19990202,81.21,81.21,81.21,81.21,0,0
2644.N,D,19990203,82.35,82.35,82.35,82.35,0,0
2644.N,D,19990204,81.15,81.15,81.15,81.15,0,0
2644.N,D,19990205,80.99,80.99,80.99,80.99,0,0
2644.N,D,19990208,81.24,81.24,81.24,81.24,0,0
2644.N,D,19990209,80.32,80.32,80.32,80.32,0,0
2644.N,D,19990210,80.77,80.77,80.77,80.77,0,0
2644.N,D,19990211,81.93,81.93,81.93,81.93,0,0
2644.N,D,19990212,81.1,81.1,81.1,81.1,0,0
2644.N,D,19990215,81.45,81.45,81.45,81.45,0,0
2644.N,D,19990216,80.91,80.91,80.91,80.91,0,0
2644.N,D,19990217,79.88,79.88,79.88,79.88,0,0
2644.N,D,19990218,79.07,79.07,79.07,79.07,0,0
2644.N,D,19990219,79.25,79.25,79.25,79.25,0,0
2644.N,D,19990222,78.96,78.96,78.96,78.96,0,0
2644.N,D,19990223,77.56,77.56,77.56,77.56,0,0
2644.N,D,19990224,75.79,75.79,75.79,75.79,0,0
2644.N,D,19990225,75.18,75.18,75.18,75.18,0,0
2644.N,D,19990226,75.62,75.62,75.62,75.62,0,0
2644.N,D,19990301,74.93,74.93,74.93,74.93,0,0
2644.N,D,19990302,75.08,75.08,75.08,75.08,0,0
2644.N,D,19990303,74.73,74.73,74.73,74.73,0,0
2644.N,D,19990304,75.03,75.03,75.03,75.03,0,0
2644.N,D,19990305,76.09,76.09,76.09,76.09,0,0
2644.N,D,19990308,77.06,77.06,77.06,77.06,0,0
2644.N,D,19990309,76.92,76.92,76.92,76.92,0,0
2644.N,D,19990310,77.22,77.22,77.22,77.22,0,0
2644.N,D,19990311,78.8,78.8,78.8,78.8,0,0
2644.N,D,19990312,78.74,78.74,78.74,78.74,0,0
2644.N,D,19990315,77.7,77.7,77.7,77.7,0,0
2644.N,D,19990316,77.08,77.08,77.08,77.08,0,0
2644.N,D,19990317,77.4,77.4,77.4,77.4,0,0
2644.N,D,19990318,79.14,79.14,79.14,79.14,0,0
2644.N,D,19990319,79.97,79.97,79.97,79.97,0,0
2644.N,D,19990322,79.83,79.83,79.83,79.83,0,0
2644.N,D,19990323,76.76,76.76,76.76,76.76,0,0
2644.N,D,19990324,78.27,78.27,78.27,78.27,0,0
2644.N,D,19990325,79.17,79.17,79.17,79.17,0,0
2644.N,D,19990326,78.5,78.5,78.5,78.5,0,0
2644.N,D,19990329,79.51,79.51,79.51,79.51,0,0
2644.N,D,19990330,79.72,79.72,79.72,79.72,0,0
2644.N,D,19990331,81.16,81.16,81.16,81.16,0,0
2644.N,D,19990401,82.93,82.93,82.93,82.93,0,0
2644.N,D,19990402,82.93,82.93,82.93,82.93,0,0
2644.N,D,19990406,83.84,83.84,83.84,83.84,0,0
2644.N,D,19990407,83.74,83.74,83.74,83.74,0,0
2644.N,D,19990408,84,84,84,84,0,0
